iter	Passed	Remaining
0	149	149699
1	151	75502
2	153	50883
3	157	39121
4	158	31568
5	160	26518
6	161	22960
7	163	20252
8	164	18137
9	166	16469
10	167	15093
11	169	13939
12	170	12969
13	172	12124
14	173	11396
15	175	10764
16	176	10197
17	177	9702
18	179	9271
19	181	8874
20	182	8510
21	183	8179
22	185	7876
23	186	7595
24	188	7339
25	189	7099
26	190	6879
27	192	6684
28	194	6496
29	195	6318
30	196	6148
31	198	5990
32	199	5843
33	201	5711
34	202	5582
35	203	5453
36	204	5331
37	206	5221
38	208	5130
39	209	5032
40	211	4940
41	212	4846
42	213	4756
43	215	4672
44	216	4592
45	217	4513
46	218	4437
47	220	4364
48	221	4300
49	223	4245
50	224	4183
51	226	4121
52	227	4062
53	228	4003
54	229	3949
55	231	3895
56	232	3843
57	233	3792
58	235	3752
59	236	3709
60	238	3663
61	239	3620
62	240	3577
63	241	3536
64	243	3496
65	244	3457
66	245	3417
67	246	3380
68	247	3344
69	249	3312
70	250	3279
71	252	3248
72	253	3217
73	254	3185
74	255	3154
75	257	3125
76	258	3095
77	259	3067
78	260	3039
79	261	3011
80	263	2984
81	264	2961
82	265	2930
83	266	2908
84	267	2884
85	269	2861
86	270	2837
87	271	2814
88	272	2792
89	274	2770
90	275	2748
91	276	2727
92	277	2706
93	278	2687
94	280	2673
95	282	2657
96	283	2637
97	284	2618
98	285	2599
99	286	2580
100	287	2562
101	289	2544
102	290	2527
103	291	2509
104	292	2492
105	293	2476
106	295	2462
107	296	2447
108	297	2432
109	298	2417
110	299	2401
111	300	2386
112	302	2371
113	303	2358
114	304	2345
115	305	2331
116	306	2316
117	308	2302
118	309	2291
119	310	2280
120	312	2267
121	313	2253
122	314	2241
123	315	2229
124	316	2216
125	317	2205
126	319	2193
127	320	2182
128	321	2171
129	322	2159
130	324	2149
131	325	2139
132	326	2130
133	327	2119
134	329	2109
135	330	2098
136	331	2088
137	332	2079
138	334	2069
139	335	2059
140	336	2049
141	337	2038
142	355	2129
143	357	2127
144	366	2163
145	370	2170
146	372	2163
147	375	2159
148	376	2150
149	378	2143
150	380	2140
151	383	2139
152	385	2132
153	387	2128
154	388	2120
155	390	2112
156	394	2115
157	395	2108
158	397	2100
159	398	2091
160	399	2083
161	402	2080
162	403	2073
163	405	2065
164	407	2062
165	409	2057
166	410	2049
167	412	2043
168	414	2036
169	415	2030
170	417	2023
171	419	2017
172	420	2010
173	422	2003
174	423	1996
175	425	1991
176	430	2001
177	433	2001
178	434	1994
179	436	1987
180	438	1982
181	441	1982
182	444	1986
183	446	1980
184	448	1977
185	450	1972
186	452	1968
187	455	1966
188	456	1960
189	458	1953
190	459	1947
191	461	1941
192	463	1937
193	465	1932
194	467	1927
195	468	1922
196	470	1919
197	473	1917
198	475	1912
199	478	1915
200	480	1909
201	481	1903
202	484	1902
203	496	1938
204	498	1933
205	500	1927
206	501	1921
207	503	1915
208	504	1908
209	505	1902
210	507	1897
211	508	1891
212	510	1885
213	511	1879
214	512	1872
215	514	1865
216	516	1861
217	517	1855
218	518	1848
219	519	1841
220	520	1835
221	522	1830
222	523	1824
223	525	1819
224	526	1813
225	527	1807
226	528	1800
227	529	1794
228	531	1788
229	532	1782
230	533	1776
231	534	1770
232	536	1766
233	539	1764
234	540	1759
235	541	1753
236	542	1747
237	544	1742
238	545	1736
239	546	1730
240	547	1724
241	548	1718
242	549	1713
243	551	1707
244	552	1702
245	553	1697
246	555	1692
247	556	1688
248	558	1683
249	559	1678
250	560	1673
251	562	1668
252	563	1663
253	565	1659
254	566	1655
255	569	1654
256	571	1651
257	572	1645
258	573	1641
259	575	1636
260	577	1635
261	578	1630
262	579	1625
263	581	1620
264	582	1616
265	584	1613
266	586	1609
267	587	1604
268	588	1599
269	591	1598
270	593	1596
271	595	1593
272	600	1599
273	601	1594
274	603	1590
275	604	1585
276	605	1581
277	607	1577
278	609	1574
279	610	1570
280	612	1567
281	614	1563
282	615	1559
283	617	1556
284	618	1552
285	620	1548
286	621	1543
287	622	1539
288	623	1534
289	624	1530
290	626	1526
291	627	1522
292	629	1518
293	630	1514
294	631	1509
295	632	1505
296	634	1500
297	635	1496
298	636	1491
299	637	1487
300	638	1482
301	639	1478
302	640	1474
303	642	1470
304	643	1466
305	645	1462
306	646	1458
307	647	1454
308	648	1450
309	649	1446
310	650	1441
311	651	1437
312	652	1433
313	654	1429
314	655	1426
315	657	1422
316	658	1418
317	659	1415
318	661	1411
319	662	1407
320	663	1403
321	664	1400
322	666	1396
323	667	1392
324	669	1389
325	670	1386
326	671	1383
327	673	1379
328	674	1375
329	675	1372
330	676	1368
331	678	1364
332	679	1360
333	680	1357
334	681	1353
335	683	1350
336	684	1346
337	686	1343
338	687	1340
339	689	1337
340	690	1334
341	692	1331
342	693	1328
343	694	1324
344	695	1321
345	697	1318
346	699	1315
347	700	1312
348	702	1309
349	704	1307
350	705	1304
351	706	1300
352	707	1297
353	709	1294
354	710	1291
355	712	1288
356	713	1285
357	715	1283
358	717	1280
359	718	1277
360	719	1274
361	721	1270
362	722	1267
