iter	Passed	Remaining
0	166	166802
1	168	83904
2	169	56220
3	170	42366
4	171	34051
5	172	28531
6	173	24610
7	174	21645
8	176	19388
9	177	17532
10	178	16007
11	179	14737
12	180	13671
13	181	12753
14	182	11960
15	183	11267
16	184	10655
17	185	10116
18	186	9635
19	187	9201
20	188	8801
21	189	8438
22	190	8105
23	191	7804
24	192	7524
25	193	7262
26	194	7023
27	195	6800
28	196	6592
29	197	6398
30	198	6215
31	199	6044
32	200	5885
33	201	5735
34	202	5593
35	203	5462
36	204	5335
37	206	5216
38	207	5102
39	208	4993
40	209	4891
41	210	4791
42	211	4697
43	212	4608
44	213	4523
45	213	4438
46	215	4361
47	216	4286
48	217	4213
49	218	4144
50	219	4076
51	219	4010
52	220	3946
53	221	3885
54	222	3826
55	223	3769
56	224	3714
57	225	3661
58	226	3609
59	227	3559
60	228	3510
61	229	3465
62	230	3421
63	231	3378
64	231	3336
65	232	3295
66	233	3254
67	234	3209
68	235	3172
69	236	3136
70	237	3104
71	238	3069
72	239	3035
73	239	3001
74	240	2968
75	241	2937
76	242	2907
77	243	2876
78	244	2849
79	245	2822
80	246	2794
81	247	2767
82	248	2741
83	248	2715
84	249	2686
85	250	2662
86	251	2635
87	252	2612
88	252	2589
89	253	2566
90	254	2545
91	255	2523
92	256	2502
93	257	2482
94	258	2466
95	259	2446
96	260	2427
97	261	2407
98	262	2389
99	263	2370
100	264	2352
101	264	2331
102	265	2313
103	266	2297
104	267	2280
105	268	2264
106	269	2247
107	270	2231
108	271	2216
109	272	2200
110	272	2186
111	273	2171
112	274	2157
113	275	2143
114	276	2130
115	277	2115
116	278	2101
117	279	2088
118	280	2073
119	280	2060
120	281	2048
121	282	2035
122	283	2020
123	284	2008
124	285	1996
125	286	1985
126	287	1974
127	287	1960
128	288	1949
129	289	1938
130	290	1929
131	291	1918
132	292	1907
133	293	1898
134	294	1888
135	295	1877
136	296	1867
137	297	1855
138	297	1845
139	298	1835
140	299	1824
141	300	1814
142	301	1805
143	302	1796
144	303	1786
145	303	1777
146	304	1768
147	305	1759
148	306	1751
149	307	1742
150	308	1733
151	309	1724
152	310	1716
153	310	1708
154	311	1699
155	312	1691
156	313	1682
157	314	1674
158	315	1666
159	315	1658
160	316	1650
161	317	1642
162	318	1635
163	319	1628
164	320	1621
165	321	1614
166	322	1607
167	323	1600
168	324	1593
169	324	1586
170	325	1579
171	326	1572
172	327	1565
173	328	1559
174	329	1553
